;random sample of disease genes;LCC of random disease genes;LCC size of random disease genes
0;[22858, 343637, 153, 1474, 341640, 84978, 4897, 359948, 8701, 26580, 64601, 89869, 5265, 2693, 518, 1021, 5896, 5019, 11093, 948, 5290, 2672, 22796, 4860, 84231, 6491, 8214, 3659, 23397, 55773, 55120, 6095, 10021, 6154, 57704, 2639, 57128, 2744, 4942, 50943, 10625, 10847, 56246, 1339, 4683, 54806, 498, 3315, 7474, 145645, 55186, 84140, 10295, 6555, 2200, 57817, 4361, 4038, 7283, 7515, 4081, 51317, 1317, 1910, 54845, 7168, 3340, 5194, 10472, 23389, 217, 22872, 6554, 150274, 975, 308, 5373, 9758, 3572, 9775, 6866, 6913, 8546, 84833, 3664, 3032, 56984, 126410, 4524];[3315, 308, 54845];3
1;[4094, 207, 1802, 8405, 57863, 678, 1830, 7200, 3187, 3718, 54832, 11224, 9907, 10913, 10524, 7299, 57498, 1184, 5660, 10758, 657, 5879, 8050, 2066, 55074, 23451, 81790, 3712, 56246, 6716, 59336, 4952, 10568, 387119, 79912, 9427, 4513, 1460, 5375, 4143, 860, 3579, 56006, 57817, 81689, 144811, 3052, 2070, 3889, 84876, 92255, 23443, 8575, 26005, 1353, 338917, 5298, 4052, 3458, 3796, 1495, 340061, 153201, 285590, 54476, 283652, 3614, 55610, 11077, 22995, 8490, 2138, 9785, 5241, 124590, 84168, 5940, 5424, 80232, 26235, 4867, 7343, 8289, 84529, 2811, 7360, 4014, 729920, 9319];[10524, 11077, 56006];3
2;[57010, 7515, 10342, 3978, 8621, 440275, 55904, 5250, 1080, 9241, 200931, 10785, 171019, 1769, 91754, 84100, 1643, 120, 7273, 63925, 80224, 5087, 152816, 8504, 221927, 6331, 5155, 283450, 6232, 3930, 9380, 7407, 538, 282809, 50945, 1674, 7306, 5314, 64087, 84231, 51434, 8139, 200894, 10324, 64321, 2213, 55315, 3199, 79147, 81689, 90678, 26249, 9517, 27245, 51181, 53904, 285025, 2348, 51206, 6772, 170691, 54681, 359948, 85452, 139285, 50484, 2187, 6144, 55131, 9423, 3630, 5080, 29895, 987, 7703, 55823, 55367, 57338, 4522, 6155, 55870, 79868, 3035, 10935, 3914, 4927, 5740, 4869, 65260];[5250, 4869, 10342, 7273, 3914, 2187, 91754, 64087, 1080];9
3;[6567, 5350, 3594, 89765, 6768, 7080, 6834, 1482, 2563, 55329, 6330, 219972, 8882, 595, 6295, 203286, 55503, 57190, 669, 8200, 5621, 5994, 331, 9993, 51010, 132884, 84572, 5176, 7252, 1050, 4589, 9922, 118, 25942, 57572, 27152, 6125, 51111, 4791, 10861, 3990, 118429, 29072, 54820, 51119, 219844, 84665, 8893, 7482, 9722, 9377, 4256, 22873, 23325, 23092, 203, 79641, 210, 6872, 51199, 171023, 10128, 4023, 80025, 3054, 51002, 5331, 2202, 26278, 81555, 11285, 2694, 3199, 93210, 1278, 185, 128869, 197, 284, 6182, 93, 974, 9636, 2250, 80704, 79053, 4340, 8763, 2266];[54820, 3199];2
4;[1289, 359948, 7050, 4308, 25790, 23636, 23345, 55704, 54, 64240, 10020, 175, 1105, 8036, 8831, 3339, 55823, 8943, 8985, 170302, 55084, 10299, 917, 7015, 2153, 1476, 3703, 2034, 58494, 84173, 96459, 7403, 80726, 2521, 23031, 7297, 9126, 2632, 197, 2184, 83394, 285440, 958, 57176, 55670, 9693, 26007, 30813, 388662, 9772, 2103, 9984, 6712, 1287, 10667, 57539, 130557, 50801, 2917, 4163, 1186, 5244, 23396, 51293, 2535, 9333, 8647, 8818, 23321, 9627, 10093, 5156, 26511, 1184, 8091, 64175, 1967, 2697, 23096, 4149, 221421, 5621, 86614, 4287, 60558, 2562, 38, 6228, 7030];[5156, 7015];2
5;[6942, 3207, 3712, 10220, 23135, 5307, 7156, 11277, 6868, 124997, 80821, 23022, 5594, 57724, 7080, 23533, 5073, 1776, 9581, 161582, 1534, 80254, 2059, 91754, 89884, 7284, 7276, 1741, 2566, 10436, 29926, 145226, 1890, 2224, 9681, 4174, 1075, 54982, 4329, 7066, 1460, 6305, 5320, 867, 25788, 1540, 4893, 2736, 7802, 3161, 84679, 51083, 2157, 65266, 8431, 26154, 6786, 11311, 84868, 80114, 4627, 79005, 1441, 70, 3913, 338917, 38, 5506, 65992, 4519, 2065, 7443, 130340, 11284, 9524, 3265, 1535, 9790, 2937, 729920, 54938, 23013, 9837, 6182, 3459, 57591, 125, 9147, 8092];[867, 338917, 29926, 2059, 7276, 23533, 1460, 7802, 23135];9
6;[506, 1496, 5745, 128, 348, 5795, 6330, 3745, 2328, 4093, 3251, 55107, 5971, 57176, 24145, 9051, 2257, 4646, 79083, 23479, 6795, 54936, 5122, 5566, 7293, 3718, 284111, 1947, 10210, 162, 1312, 3569, 55596, 5243, 84896, 11224, 10398, 22907, 55275, 2074, 3664, 92609, 22859, 80216, 26146, 2308, 1638, 10056, 6010, 79827, 50617, 7138, 490, 3187, 6655, 1161, 8621, 3159, 197322, 8431, 7424, 5551, 4158, 676, 6102, 282996, 7716, 844, 5740, 317761, 51300, 55788, 55651, 8312, 54894, 125150, 152816, 23558, 55858, 11014, 2070, 5188, 570, 2068, 3035, 30813, 126792, 805, 51741];[4646, 805, 23558];3
7;[10383, 4023, 4784, 25959, 63908, 24145, 4716, 116931, 139285, 9255, 79644, 667, 9622, 7991, 6521, 51645, 54187, 23314, 1729, 9181, 157657, 55262, 735, 8905, 8398, 26119, 3313, 1476, 286151, 5199, 6840, 2138, 5257, 6908, 57511, 3703, 9922, 9049, 4179, 51364, 63901, 6041, 2248, 10220, 8287, 11149, 645104, 6509, 114548, 6165, 2162, 2632, 57670, 3145, 7480, 8642, 8013, 23426, 9423, 7867, 2898, 79983, 55131, 3257, 78987, 6005, 2266, 23001, 11274, 63929, 85007, 5824, 6949, 79576, 89765, 4193, 8733, 128869, 7306, 10274, 84340, 6329, 7253, 9620, 65266, 23149, 5336, 84695, 175];[89765, 57670, 10383, 667, 8287];5
8;[63924, 3612, 93233, 5147, 919, 9289, 2710, 9453, 2548, 8911, 2566, 4653, 402381, 84529, 54440, 8287, 23729, 57572, 2068, 6336, 10982, 1496, 6575, 5538, 6548, 5053, 224, 51319, 51075, 1462, 5324, 207, 55714, 4838, 10484, 116931, 92002, 348938, 667, 10845, 1066, 22978, 1147, 132, 282996, 9076, 10577, 85007, 84700, 60558, 79042, 29894, 51134, 650, 10210, 2266, 91949, 57538, 84892, 113179, 6885, 8462, 8647, 9321, 326625, 8379, 139285, 121391, 55033, 4722, 5144, 10659, 4761, 121214, 55851, 79879, 1412, 3851, 2056, 11232, 779, 5189, 387700, 51311, 8572, 5058, 3460, 2048, 7018];[5058, 1147, 6885, 207];4
9;[163786, 169522, 199221, 55906, 861, 55755, 85446, 84570, 6557, 1019, 2779, 859, 3899, 712, 26353, 51738, 7204, 81704, 6567, 4488, 1727, 8795, 116150, 2934, 112752, 5521, 1947, 55770, 8220, 7075, 3910, 6548, 3187, 4353, 1801, 51095, 6476, 80232, 1741, 6569, 10309, 3897, 56171, 4709, 72, 10491, 79083, 6843, 6794, 91647, 113179, 2538, 2674, 857, 23646, 462, 35, 81689, 410, 64072, 7134, 51399, 5824, 2232, 2068, 6477, 4953, 2896, 1428, 8456, 79576, 27241, 9935, 1634, 8891, 668, 91147, 5995, 55129, 2034, 23189, 222662, 4589, 30813, 3300, 5213, 9631, 39, 388552];[6794, 1019, 23646];3
