tissue	Association_term	P-value-corrected	OR
amygdala	negative regulation of calcium ion export across plasma membrane	0.01484875695053413	208.8333333333333
amygdala	substantia nigra development	0.02108156850998672	10.04273504273504
amygdala	response to calcium ion	0.02108156850998672	14.92405063291139
amygdala	regulation of synaptic vesicle exocytosis	0.02108156850998672	208.8333333333333
amygdala	positive regulation of neurotransmitter secretion	0.02108156850998672	208.8333333333333
amygdala	positive regulation of ryanodine-sensitive calcium-release channel activity	0.02108156850998672	208.8333333333333
amygdala	regulation of calcium-mediated signaling	0.02108156850998672	208.8333333333333
amygdala	detection of calcium ion	0.02108156850998672	208.8333333333333
amygdala	negative regulation of ryanodine-sensitive calcium-release channel activity	0.02108156850998672	208.8333333333333
amygdala	negative regulation of peptidyl-threonine phosphorylation	0.02108156850998672	208.8333333333333
amygdala	regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum	0.02108156850998672	208.8333333333333
amygdala	chemical synaptic transmission	0.03421584059804473	19.68333333333333
amygdala	positive regulation of protein serine/threonine kinase activity	0.03421584059804473	19.68333333333333
amygdala	positive regulation of peptidyl-threonine phosphorylation	0.04013830652681566	14.75
amygdala	positive regulation of protein dephosphorylation	0.04013830652681566	14.75
amygdala	positive regulation of cyclic-nucleotide phosphodiesterase activity	0.04013830652681566	43.81481481481482
amygdala	regulation of cardiac muscle contraction	0.04013830652681566	43.81481481481482
amygdala	positive regulation of protein autophosphorylation	0.04013830652681566	43.81481481481482
amygdala	positive regulation of phosphoprotein phosphatase activity	0.04013830652681566	43.81481481481482
amygdala	regulation of cell communication by electrical coupling involved in cardiac conduction	0.04013830652681566	43.81481481481482
amygdala	regulation of heart rate	0.04013830652681566	43.81481481481482
amygdala	positive regulation of endocytosis	0.04013830652681566	43.81481481481482
basal ganglia	response to calcium ion	0.01329219153870981	19.23626373626374
basal ganglia	chemical synaptic transmission	0.01329219153870981	31.76630434782609
basal ganglia	negative regulation of calcium ion export across plasma membrane	0.01329219153870981	208.8333333333333
basal ganglia	positive regulation of peptidyl-threonine phosphorylation	0.02497449985761773	21.15942028985507
basal ganglia	regulation of autophagy of mitochondrion	0.03027904862340554	25.13978494623656
basal ganglia	regulation of synaptic vesicle exocytosis	0.03027904862340554	208.8333333333333
basal ganglia	positive regulation of neurotransmitter secretion	0.03027904862340554	208.8333333333333
basal ganglia	positive regulation of ryanodine-sensitive calcium-release channel activity	0.03027904862340554	208.8333333333333
basal ganglia	regulation of calcium-mediated signaling	0.03027904862340554	208.8333333333333
basal ganglia	detection of calcium ion	0.03027904862340554	208.8333333333333
basal ganglia	negative regulation of ryanodine-sensitive calcium-release channel activity	0.03027904862340554	208.8333333333333
basal ganglia	negative regulation of peptidyl-threonine phosphorylation	0.03027904862340554	208.8333333333333
basal ganglia	regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum	0.03027904862340554	208.8333333333333
basal ganglia	substantia nigra development	0.03161609860585246	8.512820512820513
breast	negative regulation of smooth muscle cell proliferation	0.04474783606702201	56.36363636363637
colon	phosphocreatine biosynthetic process	0.01994965439537042	208.8333333333333
colon	regulation of heart contraction	0.01994965439537042	208.8333333333333
endometrium	regulation of heart contraction	0.001231152036992268	208.8333333333333
endometrium	platelet aggregation	0.01948298098537954	49.02631578947368
endometrium	collagen-activated tyrosine kinase receptor signaling pathway	0.01948298098537954	208.8333333333333
endometrium	adenylate cyclase-activating adrenergic receptor signaling pathway involved in heart process	0.01948298098537954	208.8333333333333
fallopian tube	regulation of DNA strand elongation	0.04046201613065703	124.5
fallopian tube	positive regulation of telomere maintenance in response to DNA damage	0.04046201613065703	124.5
fallopian tube	box C/D snoRNP assembly	0.04046201613065703	208.8333333333333
fallopian tube	regulation of chromosome organization	0.04046201613065703	124.5
fallopian tube	histone acetylation	0.04046201613065703	124.5
gallbladder	negative regulation of catalytic activity	0.03536946754604395	104.5833333333333
gallbladder	cellular response to retinoic acid	0.03536946754604395	62.65
gallbladder	osteoblast differentiation	0.04153738983082312	17.22222222222222
gallbladder	cell adhesion	0.04153738983082312	13.42391304347826
heart muscle	tricarboxylic acid cycle	8.960203998558038e-4	39.28155339805825
heart muscle	acetyl-CoA biosynthetic process from pyruvate	0.02512223447549953	208.8333333333333
hippocampal formation	response to calcium ion	0.005262432905469214	24.70833333333333
hippocampal formation	negative regulation of calcium ion export across plasma membrane	0.005262432905469214	208.8333333333333
hippocampal formation	substantia nigra development	0.01365533871878733	10.93518518518519
hippocampal formation	positive regulation of excitatory postsynaptic potential	0.01365533871878733	64.27027027027027
hippocampal formation	regulation of synaptic vesicle exocytosis	0.01365533871878733	208.8333333333333
hippocampal formation	positive regulation of neurotransmitter secretion	0.01365533871878733	208.8333333333333
hippocampal formation	AMPA glutamate receptor clustering	0.01365533871878733	208.8333333333333
hippocampal formation	positive regulation of ryanodine-sensitive calcium-release channel activity	0.01365533871878733	208.8333333333333
hippocampal formation	regulation of calcium-mediated signaling	0.01365533871878733	208.8333333333333
hippocampal formation	detection of calcium ion	0.01365533871878733	208.8333333333333
hippocampal formation	negative regulation of ryanodine-sensitive calcium-release channel activity	0.01365533871878733	208.8333333333333
hippocampal formation	negative regulation of peptidyl-threonine phosphorylation	0.01365533871878733	208.8333333333333
hippocampal formation	regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum	0.01365533871878733	208.8333333333333
hippocampal formation	chemical synaptic transmission	0.02127095246061396	21.38738738738739
hippocampal formation	positive regulation of protein serine/threonine kinase activity	0.02127095246061396	21.38738738738739
hippocampal formation	positive regulation of peptidyl-threonine phosphorylation	0.02950013112807132	16.02702702702703
hippocampal formation	positive regulation of cyclic-nucleotide phosphodiesterase activity	0.02950013112807132	47.56
hippocampal formation	regulation of cardiac muscle contraction	0.02950013112807132	47.56
hippocampal formation	positive regulation of protein autophosphorylation	0.02950013112807132	47.56
hippocampal formation	positive regulation of phosphoprotein phosphatase activity	0.02950013112807132	47.56
hippocampal formation	regulation of cell communication by electrical coupling involved in cardiac conduction	0.02950013112807132	47.56
hippocampal formation	regulation of heart rate	0.02950013112807132	47.56
hippocampal formation	positive regulation of endocytosis	0.02950013112807132	47.56
hypothalamus	chemical synaptic transmission	0.006017671740265615	45.26515151515152
hypothalamus	substantia nigra development	0.02729719206861523	12.18461538461538
hypothalamus	positive regulation of neurotransmitter secretion	0.03664394700375308	208.8333333333333
kidney	acetyl-CoA biosynthetic process from pyruvate	0.002638397808184535	208.8333333333333
kidney	proton transmembrane transport	0.02757147224711995	28.16374269005848
kidney	nitric oxide mediated signal transduction	0.02757147224711995	208.8333333333333
lymph node	double-strand break repair via break-induced replication	5.708404623005935e-4	208.8333333333333
lymph node	DNA replication initiation	0.003294713901138852	208.8333333333333
lymph node	DNA unwinding involved in DNA replication	0.003294713901138852	208.8333333333333
lymph node	DNA replication	0.005589780210604633	16.69014084507042
lymph node	regulation of DNA-templated DNA replication initiation	0.009427469333569447	65.20547945205479
lymph node	response to ionizing radiation	0.02248122903280942	32.57534246575342
lymph node	T cell receptor signaling pathway	0.0281504186020106	13.71527777777778
