Interactor_A,Interactor_B,PI,HuInteractome,Symbol_A,Symbol_B
11264,5830,1.0,,PXMP4,PEX5
11264,6342,1.0,,PXMP4,SCP2
11264,5824,1.0,,PXMP4,PEX19
11264,5193,1.0,,PXMP4,PEX12
11264,9409,1.0,,PXMP4,PEX16
11264,92960,1.0,,PXMP4,PEX11G
2053,2053,1.0,1.0,EPHX2,EPHX2
2053,51024,1.0,,EPHX2,FIS1
2053,5052,1.0,,EPHX2,PRDX1
2053,3295,1.0,,EPHX2,HSD17B4
55825,215,1.0,,PECR,ABCD1
55825,26063,1.0,,PECR,DECR2
55825,252995,1.0,,PECR,FNDC5
55825,373156,1.0,,PECR,GSTK1
55825,51179,1.0,,PECR,HAO2
55825,3155,1.0,,PECR,HMGCL
55825,56947,1.0,,PECR,MFF
55825,55825,1.0,,PECR,PECR
55825,219743,1.0,,PECR,TYSND1
55825,5824,1.0,,PECR,PEX19
55825,5830,1.0,,PECR,PEX5
55825,6342,1.0,,PECR,SCP2
55825,6648,1.0,,PECR,SOD2
30,122970,1.0,,ACAA1,ACOT4
30,5194,1.0,,ACAA1,PEX13
30,5830,1.0,,ACAA1,PEX5
30,222659,1.0,,ACAA1,PXT1
30,51024,1.0,,ACAA1,FIS1
30,30,1.0,,ACAA1,ACAA1
30,373156,1.0,,ACAA1,GSTK1
30,4843,1.0,,ACAA1,NOS2
30,10654,1.0,,ACAA1,PMVK
30,94009,1.0,,ACAA1,SERHL
30,219743,1.0,,ACAA1,TYSND1
30,641371,1.0,,ACAA1,ACOT1
30,51703,1.0,,ACAA1,ACSL5
30,1610,1.0,,ACAA1,DAO
30,11001,1.0,,ACAA1,SLC27A2
30,284273,1.0,,ACAA1,PTGR3
30,26063,1.0,,ACAA1,DECR2
30,92960,1.0,,ACAA1,PEX11G
30,5195,1.0,,ACAA1,PEX14
30,5824,1.0,,ACAA1,PEX19
30,5191,1.0,,ACAA1,PEX7
30,51268,1.0,,ACAA1,PIPOX
23600,51024,1.0,,AMACR,FIS1
23600,252995,1.0,,AMACR,FNDC5
23600,1891,1.0,,AMACR,ECH1
51,5830,1.0,,ACOX1,PEX5
51,373156,1.0,,ACOX1,GSTK1
51,51,1.0,,ACOX1,ACOX1
51,3417,1.0,,ACOX1,IDH1
51,5824,1.0,,ACOX1,PEX19
570,5830,1.0,,BAAT,PEX5
570,10901,1.0,,BAAT,DHRS4
570,570,1.0,,BAAT,BAAT
570,8528,1.0,,BAAT,DDO
65084,5830,1.0,,TMEM135,PEX5
65084,5264,1.0,,TMEM135,PHYH
65084,5824,1.0,,TMEM135,PEX19
252995,5830,1.0,,FNDC5,PEX5
252995,5825,1.0,,FNDC5,ABCD3
252995,26063,1.0,,FNDC5,DECR2
252995,1891,1.0,,FNDC5,ECH1
252995,252995,1.0,,FNDC5,FNDC5
252995,3416,1.0,,FNDC5,IDE
252995,3155,1.0,,FNDC5,HMGCL
252995,5824,1.0,,FNDC5,PEX19
252995,51268,1.0,,FNDC5,PIPOX
252995,6342,1.0,,FNDC5,SCP2
