function	color
membrane	#d03d5f
matrix	#5dbc4e
peroxin	#a156cb
beta oxidation	#b8b838
protein import	#6269db
ROS metabolism	#df9830
alpha oxidation	#5d73be
proliferation	#d5471e
bile acid synthesis	#55c7ae
cholesterol/isoprenoid biosynthesis	#cf3384
glyoxylate metabolism	#3d8a4a
plasmalogen biosynthesis	#d660c1
transporter	#6d8f2c
beta oxidation of prystanoyl CoA	#8d4f99
dislocation	#8eb86f
docking and translocation	#e46899
ubiquitination	#2f8a72
beta oxidation auxilliary	#cd3a3b
unknown	#5ea3d9
amino acid metabolism	#e87041
nitrate metabolism	#bf8fd7
citric acid cycle	#9f842a
cobalamin	#9b476d
fission	#c7ae6d
nicotinamide salvaging	#da86a0
processing	#6b6e2e
regulation of fat cell differentiation	#e47f70
regulation of fatty acid oxidation	#956534
retinoic acid signalling	#a34d49
signaling	#de9259
tether	#aa521e
