Interactor_A,Interactor_B,Symbol_A,Symbol_B
310,285,310,285
310,2,310,2
310,60,310,60
310,324,310,324
310,333,310,333
310,506,310,506
310,523,310,523
310,1019,310,1019
310,1059,310,1059
310,1114,310,1114
310,1284,310,1284
310,1287,310,1287
310,1400,310,1400
310,1508,310,1508
310,1760,310,1760
310,1780,310,1780
310,1855,310,1855
310,1915,310,1915
310,2132,310,2132
310,2162,310,2162
310,2597,310,2597
310,2661,310,2661
310,2783,310,2783
310,3032,310,3032
310,3431,310,3431
310,4287,310,4287
310,4436,310,4436
310,4804,310,4804
310,5162,310,5162
310,5315,310,5315
310,5859,310,5859
310,5928,310,5928
310,6117,310,6117
310,6137,310,6137
310,6187,310,6187
310,6609,310,6609
310,6612,310,6612
310,6717,310,6717
310,7088,310,7088
310,7114,310,7114
310,7157,310,7157
310,7321,310,7321
310,7375,310,7375
310,7431,310,VIM
310,7694,310,7694
310,7846,310,7846
310,7849,310,7849
310,7917,310,7917
310,9094,310,9094
310,9362,310,9362
310,9397,310,9397
310,9757,310,9757
310,9869,310,9869
310,10381,310,10381
310,10574,310,10574
310,10641,310,10641
310,10681,310,10681
310,10980,310,10980
310,11124,310,11124
310,11161,310,11161
310,11189,310,11189
310,22993,310,22993
310,23564,310,23564
310,23646,310,23646
310,26230,310,26230
310,27037,310,27037
310,27097,310,27097
310,51003,310,51003
310,51150,310,51150
310,51380,310,51380
310,51412,310,51412
310,51763,310,51763
310,54437,310,54437
310,54973,310,54973
310,55611,310,55611
310,55791,310,55791
310,57418,310,57418
310,60492,310,60492
310,66000,310,66000
310,80227,310,80227
310,80308,310,80308
310,84060,310,84060
310,84942,310,84942
310,85365,310,85365
310,85440,310,85440
310,151230,310,151230
310,170959,310,170959
310,221184,310,221184
310,347733,310,347733
310,1387,310,1387
310,1738,310,1738
310,30811,310,30811
6622,333,6622,333
6622,351,6622,351
6622,467,6622,467
6622,581,6622,581
6622,1019,6622,1019
6622,1133,6622,1133
6622,1861,6622,1861
6622,1956,6622,1956
6622,2512,6622,2512
6622,2534,6622,2534
6622,2597,6622,2597
6622,3303,6622,3303
6622,3920,6622,3920
6622,4067,6622,4067
6622,4137,6622,4137
6622,4502,6622,4502
6622,4514,6622,4514
6622,4833,6622,4833
6622,4931,6622,4931
6622,5071,6622,5071
6622,5578,6622,5578
6622,5702,6622,5702
6622,6386,6622,6386
6622,25,6622,25
6622,163,6622,163
6622,207,6622,207
6622,348,6622,348
6622,598,6622,598
6622,839,6622,839
6622,1410,6622,1410
6622,1453,6622,1453
6622,1915,6622,1915
6622,2280,6622,2280
6622,2783,6622,2783
6622,3064,6622,3064
6622,3430,6622,3430
6622,5119,6622,5119
6622,5414,6622,5414
6622,5550,6622,5550
6622,5581,6622,5581
6622,5700,6622,5700
6622,5901,6622,5901
6622,6280,6622,6280
6622,6620,6622,6620
6622,6622,6622,6622
6622,6647,6622,SOD1
6622,6853,6622,6853
6622,6996,6622,6996
6622,7014,6622,7014
6622,7311,6622,7311
6622,7316,6622,7316
6622,7428,6622,7428
6622,7533,6622,7533
6622,7732,6622,7732
6622,7917,6622,7917
6622,8189,6622,8189
6622,8192,6622,8192
6622,8293,6622,8293
6622,8533,6622,8533
6622,8666,6622,8666
6622,8878,6622,8878
6622,9118,6622,9118
6622,9637,6622,9637
6622,9659,6622,9659
6622,9921,6622,9921
6622,9922,6622,9922
6622,10376,6622,10376
6622,10422,6622,10422
6622,11076,6622,11076
6622,22823,6622,22823
6622,22921,6622,22921
6622,23429,6622,23429
6622,25830,6622,25830
6622,26286,6622,26286
6622,27252,6622,27252
6622,27342,6622,27342
6622,28999,6622,28999
6622,51035,6622,51035
6622,51150,6622,51150
6622,51379,6622,51379
6622,51444,6622,51444
6622,51699,6622,51699
6622,51720,6622,51720
6622,54033,6622,54033
6622,54205,6622,54205
6622,54472,6622,54472
6622,54778,6622,54778
6622,55251,6622,55251
6622,55611,6622,55611
6622,55690,6622,55690
6622,55738,6622,55738
6622,55845,6622,55845
6622,56957,6622,56957
6622,57097,6622,57097
6622,58489,6622,58489
6622,79230,6622,79230
6622,79754,6622,79754
6622,80331,6622,80331
6622,80349,6622,80349
6622,83734,6622,83734
6622,84254,6622,84254
6622,84456,6622,84456
6622,84708,6622,84708
6622,84709,6622,84709
6622,84954,6622,84954
6622,85440,6622,85440
6622,92906,6622,92906
6622,126961,6622,126961
6622,129049,6622,129049
6622,138065,6622,138065
6622,153527,6622,153527
6622,165918,6622,165918
6622,201161,6622,201161
6622,219670,6622,219670
6622,222484,6622,222484
6622,284312,6622,284312
6622,338692,6622,338692
6622,339231,6622,339231
6622,728492,6622,728492
6622,6672,6622,6672
6622,6737,6622,6737
6622,7003,6622,7003
6622,7873,6622,7873
6622,8546,6622,8546
6622,8554,6622,8554
6622,8726,6622,8726
6622,8819,6622,8819
6622,9099,6622,9099
6622,9101,6622,9101
6622,9270,6622,9270
6622,9841,6622,9841
6622,10254,6622,10254
6622,10298,6622,10298
6622,10567,6622,10567
6622,10640,6622,10640
6622,11060,6622,11060
6622,11315,6622,11315
6622,22936,6622,22936
6622,51691,6622,51691
6622,55660,6622,55660
6622,56928,6622,56928
6622,57591,6622,57591
6622,81631,6622,81631
6622,126295,6622,126295
6622,203068,6622,203068
10549,1192,10549,1192
10549,1355,10549,1355
10549,1593,10549,1593
10549,3164,10549,3164
10549,4512,10549,4512
10549,5052,10549,PRDX1
10549,5871,10549,5871
10549,6310,10549,6310
10549,6647,10549,SOD1
10549,7001,10549,7001
10549,7448,10549,7448
10549,8458,10549,8458
10549,10013,10549,10013
10549,2033,10549,2033
10549,10549,10549,10549
10549,25898,10549,25898
10549,54935,10549,54935
10549,79087,10549,79087
10549,10935,10549,10935
10549,58155,10549,58155
80854,1786,80854,1786
80854,5573,80854,5573
80854,7026,80854,7026
80854,7157,80854,7157
80854,5111,80854,5111
80854,6881,80854,6881
2,2,2,2
2,60,2,60
2,348,2,348
2,351,2,351
2,476,2,476
2,998,2,998
2,1499,2,1499
2,1558,2,1558
2,1995,2,1995
2,2026,2,2026
2,2193,2,2193
2,2639,2,2639
2,2669,2,2669
2,2885,2,2885
2,3337,2,3337
2,3437,2,3437
2,5864,2,5864
2,5886,2,5886
2,5908,2,5908
2,6009,2,6009
2,6468,2,6468
2,6606,2,6606
2,6607,2,6607
