TiP	tissue	pex_interactor
A2M	liver	FIS1
A2M	urinary bladder	FIS1
A2M	lung	FIS1
AARS1	cerebral cortex	SOD1
ABL1	colon	CAV1, MAVS, PRDX1
ABL1	urinary bladder	CAV1, MAVS, PRDX1
ABL2	retina	CAV1
ABL2	gallbladder	CAV1
ABL2	cerebellum	CAV1
ABL2	adipose tissue	CAV1
ACACB	tongue	PEX14
ACACB	heart muscle	PEX14
ACACB	colon	PEX14
ACACB	adipose tissue	PEX14
ACACB	breast	PEX14
ACACB	liver	PEX14
ACACB	skeletal muscle	PEX14
ACLY	prostate	DNM1L
ACLY	adipose tissue	DNM1L
ACO2	cerebral cortex	SOD1
ACO2	tongue	SOD1
ACO2	heart muscle	SOD1
ACO2	skeletal muscle	SOD1
ACO2	parathyroid gland	SOD1
ACTB	smooth muscle	EHHADH, ACTG1
ACTB	colon	EHHADH, ACTG1
ACTB	endometrium	EHHADH, ACTG1
ACTN1	smooth muscle	DNM1L
ACTN1	colon	DNM1L
ACTN1	endometrium	DNM1L
ACTN1	urinary bladder	DNM1L
ACTN1	seminal vesicle	DNM1L
ADAM10	thymus	PEX13
ADARB1	retina	EHHADH
ADARB1	colon	EHHADH
ADARB1	urinary bladder	EHHADH
ADARB1	lung	EHHADH
ADCY6	adipose tissue	VAPA
ADH5	liver	PRDX1
ADRB2	skin	NHERF1, VAPA, CRYM, PRDX1
ADRB2	adipose tissue	NHERF1, VAPA, CRYM, PRDX1
ADRB2	breast	NHERF1, VAPA, CRYM, PRDX1
ADRB2	lung	NHERF1, VAPA, CRYM, PRDX1
AP1B1	parathyroid gland	ARF1
AP2B1	cerebral cortex	VAPB, PEX26, SOD1
AP2B1	parathyroid gland	VAPB, PEX26, SOD1
TLE5	cerebral cortex	VIM
TLE5	cerebellum	VIM
AHCY	ovary	DNM1L
AHCY	esophagus	DNM1L
AHCY	pancreas	DNM1L
AHCY	liver	DNM1L
AHCY	kidney	DNM1L
AK2	tongue	SOD1, VIM
AK2	liver	SOD1, VIM
AK2	skeletal muscle	SOD1, VIM
AK2	kidney	SOD1, VIM
AKT1	heart muscle	VIM, ACAT2, IMPDH2
AKT1	pancreas	VIM, ACAT2, IMPDH2
AKT1	liver	VIM, ACAT2, IMPDH2
AKT1	adrenal gland	VIM, ACAT2, IMPDH2
ALDOA	cerebral cortex	DNM1L, SOD1
ALDOA	tongue	DNM1L, SOD1
ALDOA	heart muscle	DNM1L, SOD1
ALDOA	esophagus	DNM1L, SOD1
ALDOA	skeletal muscle	DNM1L, SOD1
ALDOA	choroid plexus	DNM1L, SOD1
ALDOA	parathyroid gland	DNM1L, SOD1
AMPD2	pituitary gland	VIM
AMPD2	choroid plexus	VIM
SLC25A6	pancreas	VIM
SLC25A6	choroid plexus	VIM
ANXA1	bone marrow	SOD1
ANXA1	cervix	SOD1
ANXA1	tonsil	SOD1
ANXA1	esophagus	SOD1
ANXA1	salivary gland	SOD1
ANXA1	adipose tissue	SOD1
ANXA1	vagina	SOD1
ANXA1	placenta	SOD1
ANXA7	skeletal muscle	VIM
ANXA7	parathyroid gland	VIM
BIRC5	testis	PEX26
BIRC5	bone marrow	PEX26
BIRC5	thymus	PEX26
APLP1	amygdala	VIM
APLP1	cerebral cortex	VIM
APLP1	spinal cord	VIM
APLP1	midbrain	VIM
APLP1	hippocampal formation	VIM
APLP1	pituitary gland	VIM
APLP1	hypothalamus	VIM
APLP1	basal ganglia	VIM
APOD	adipose tissue	VAPA, MFF
APOD	breast	VAPA, MFF
APOD	choroid plexus	VAPA, MFF
APOE	amygdala	ACTG1
APOE	cerebral cortex	ACTG1
APOE	midbrain	ACTG1
APOE	hippocampal formation	ACTG1
APOE	hypothalamus	ACTG1
APOE	liver	ACTG1
APOE	basal ganglia	ACTG1
APOE	adrenal gland	ACTG1
APOE	kidney	ACTG1
APRT	esophagus	SOD1
APRT	skin	SOD1
FAS	ovary	RHOA
FAS	adrenal gland	RHOA
FAS	lung	RHOA
AQP1	tongue	TRIM37
AQP1	adipose tissue	TRIM37
AQP1	choroid plexus	TRIM37
AQP1	kidney	TRIM37
AQP1	lung	TRIM37
AQP3	esophagus	MFF
AQP3	salivary gland	MFF
AQP3	skin	MFF
AQP3	thymus	MFF
AQP3	urinary bladder	MFF
AQP3	vagina	MFF
