InteractorA	InteractorB	FoundInScreen	FoundInCheng	proteinA	proteinB	class
30	3295	N	Y	ACAA1	HSD17B4	Cheng
30	6342	N	Y	ACAA1	SCP2	Cheng
30	122970	Y	N	ACAA1	ACOT4	iBret only
30	5194	Y	N	ACAA1	PEX13	iBret only
30	5830	Y	N	ACAA1	PEX5	iBret only
30	222659	Y	N	ACAA1	PXT1	iBret only
30	51024	Y	N	ACAA1	FIS1	iBret only
30	30	Y	N	ACAA1	ACAA1	iBret only
30	373156	Y	N	ACAA1	GSTK1	iBret only
30	4843	Y	N	ACAA1	NOS2	iBret only
30	10654	Y	N	ACAA1	PMVK	iBret only
30	94009	Y	N	ACAA1	SERHL	iBret only
30	219743	Y	N	ACAA1	TYSND1	iBret only
30	641371	Y	N	ACAA1	ACOT1	iBret only
30	51703	Y	N	ACAA1	ACSL5	iBret only
30	1610	Y	N	ACAA1	DAO	iBret only
30	11001	Y	N	ACAA1	SLC27A2	iBret only
30	284273	Y	N	ACAA1	ZADH2	iBret only
30	26063	Y	N	ACAA1	DECR2	iBret only
30	92960	Y	N	ACAA1	PEX11G	iBret only
30	5195	Y	N	ACAA1	PEX14	iBret only
30	5824	Y	N	ACAA1	PEX19	iBret only
30	5191	Y	N	ACAA1	PEX7	iBret only
30	51268	Y	N	ACAA1	PIPOX	iBret only
51	6342	N	Y	ACOX1	SCP2	Cheng
51	5195	N	Y	ACOX1	PEX14	Cheng
51	5830	Y	Y	ACOX1	PEX5	Both
51	219743	N	Y	ACOX1	TYSND1	Cheng
51	373156	Y	N	ACOX1	GSTK1	iBret only
51	51	Y	N	ACOX1	ACOX1	iBret only
51	3417	Y	N	ACOX1	IDH1	iBret only
51	5824	Y	N	ACOX1	PEX19	iBret only
189	5830	Y	Y	AGXT	PEX5	Both
189	5052	Y	N	AGXT	PRDX1	iBret only
189	373156	Y	N	AGXT	GSTK1	iBret only
189	189	Y	N	AGXT	AGXT	iBret only
189	5824	Y	N	AGXT	PEX19	iBret only
215	8540	N	Y	ABCD1	AGPS	Cheng
215	215	Y	Y	ABCD1	ABCD1	Both
215	225	N	Y	ABCD1	ABCD2	Cheng
215	8504	N	Y	ABCD1	PEX3	Cheng
215	11001	N	Y	ABCD1	SLC27A2	Cheng
215	224	Y	N	ABCD1	ALDH3A2	iBret only
215	1962	Y	N	ABCD1	EHHADH	iBret only
215	84188	Y	N	ABCD1	FAR1	iBret only
215	222659	Y	N	ABCD1	PXT1	iBret only
215	10478	Y	N	ABCD1	SLC25A17	iBret only
224	91452	Y	N	ALDH3A2	ACBD5	iBret only
224	224	Y	N	ALDH3A2	ALDH3A2	iBret only
224	222659	Y	N	ALDH3A2	PXT1	iBret only
224	51024	Y	N	ALDH3A2	FIS1	iBret only
224	92960	Y	N	ALDH3A2	PEX11G	iBret only
224	55670	Y	N	ALDH3A2	PEX26	iBret only
225	225	N	Y	ABCD2	ABCD2	Cheng
225	51024	Y	N	ABCD2	FIS1	iBret only
225	51179	Y	N	ABCD2	HAO2	iBret only
570	5830	Y	N	BAAT	PEX5	iBret only
570	10901	Y	N	BAAT	DHRS4	iBret only
570	570	Y	N	BAAT	BAAT	iBret only
570	8528	Y	N	BAAT	DDO	iBret only
847	847	Y	Y	CAT	CAT	Both
847	1962	N	Y	CAT	EHHADH	Cheng
847	3422	Y	N	CAT	IDI1	iBret only
1384	373156	Y	N	CRAT	GSTK1	iBret only
1610	5830	Y	N	DAO	PEX5	iBret only
1610	5052	Y	N	DAO	PRDX1	iBret only
1610	1610	Y	N	DAO	DAO	iBret only
1610	10455	Y	N	DAO	ECI2	iBret only
1891	373156	Y	N	ECH1	GSTK1	iBret only
1891	1891	Y	N	ECH1	ECH1	iBret only
1891	51179	Y	N	ECH1	HAO2	iBret only
1891	55670	Y	N	ECH1	PEX26	iBret only
2053	2053	Y	Y	EPHX2	EPHX2	Both
2053	51024	Y	N	EPHX2	FIS1	iBret only
2053	5052	Y	N	EPHX2	PRDX1	iBret only
2053	3295	Y	N	EPHX2	HSD17B4	iBret only
2182	51024	Y	N	ACSL4	FIS1	iBret only
2182	5824	Y	N	ACSL4	PEX19	iBret only
3155	51024	Y	N	HMGCL	FIS1	iBret only
3155	3155	Y	N	HMGCL	HMGCL	iBret only
3155	5824	Y	N	HMGCL	PEX19	iBret only
3156	3156	N	Y	HMGCR	HMGCR	Cheng
3156	51024	Y	N	HMGCR	FIS1	iBret only
3295	847	N	Y	HSD17B4	CAT	Cheng
3295	3295	Y	Y	HSD17B4	HSD17B4	Both
3295	10654	Y	N	HSD17B4	PMVK	iBret only
3295	641371	Y	N	HSD17B4	ACOT1	iBret only
3295	4598	Y	N	HSD17B4	MVK	iBret only
3417	3417	Y	Y	IDH1	IDH1	Both
3422	23417	Y	N	IDI1	MLYCD	iBret only
4358	94009	Y	N	MPV17	SERHL	iBret only
4598	4598	Y	Y	MVK	MVK	Both
4843	4843	N	Y	NOS2	NOS2	Cheng
4843	373156	Y	N	NOS2	GSTK1	iBret only
4843	4598	Y	N	NOS2	MVK	iBret only
4843	10654	Y	N	NOS2	PMVK	iBret only
5052	5052	Y	Y	PRDX1	PRDX1	Both
5052	4591	Y	N	PRDX1	TRIM37	iBret only
5189	5195	N	Y	PEX1	PEX14	Cheng
5189	55670	N	Y	PEX1	PEX26	Cheng
5189	5190	Y	Y	PEX1	PEX6	Both
5189	5194	Y	N	PEX1	PEX13	iBret only
5189	5830	Y	N	PEX1	PEX5	iBret only
5189	6647	Y	N	PEX1	SOD1	iBret only
5189	5824	Y	N	PEX1	PEX19	iBret only
5190	55670	Y	Y	PEX6	PEX26	Both
5190	5830	Y	N	PEX6	PEX5	iBret only
5190	219743	Y	N	PEX6	TYSND1	iBret only
5190	5824	Y	N	PEX6	PEX19	iBret only
5190	8310	Y	N	PEX6	ACOX3	iBret only
5191	5194	Y	Y	PEX7	PEX13	Both
5191	5195	N	Y	PEX7	PEX14	Cheng
5191	5264	Y	Y	PEX7	PHYH	Both
5191	5830	N	Y	PEX7	PEX5	Cheng
5191	8309	Y	N	PEX7	ACOX2	iBret only
5191	8540	Y	N	PEX7	AGPS	iBret only
5192	5195	N	Y	PEX10	PEX14	Cheng
